상품코드,상품명,매입단가,매출단가,,매출단가계산
P00001,(신)허쉬드링크,393,800,800,800
P00002,뉴롤리폴리,655,1000,1000,1000
P00003,디스(갑),1475,2000,2000,2000
P00004,디스플러스(갑),1549,2100,2100,2100
P00005,땅콩그래,655,1000,1000,1000
P00006,레종후레시,1844,2500,2500,2500
P00007,로크럭스,1844,2500,2500,2500
P00008,미니자유시간,1311,0,1730.52,1730
P00009,미사랑,655,1000,1000,1000
P00010,바나나우유,491,1000,1000,1000
P00011,바밤바,274,500,500,500
P00012,버터링,655,1000,1000,1000
P00013,부라보(바닐라),549,1000,1000,1000
P00014,부라보(초코),549,1000,1000,1000
P00015,브라우니,655,1000,1000,1000
P00016,빅썬사과,213,500,500,500
P00017,샤브레,786,1200,1200,1200
P00018,소보로,655,0,864.6,860
P00019,순두유230ml,614,1300,1300,1300
P00020,신라면큰사발,532,900,900,900
P00021,심플(갑),1696,2300,2300,2300
P00022,쌍쌍바,384,700,700,700
P00023,아카시아후레쉬,737,3000,3000,3000
P00024,에쎄클래식,1844,2500,2500,2500
P00025,에이스,1311,2000,2000,2000
P00026,에이스(소),459,700,700,700
P00027,연양갱,327,500,500,500
P00028,오미오미누룽지,655,1000,1000,1000
P00029,오예스,2098,3200,3200,3200
P00030,오예스브라우니,655,1000,1000,1000
P00031,요플레딸기100g,315,700,700,700
P00032,은단청후레쉬,737,3000,3000,3000
P00033,인디고,1844,2500,2500,2500
P00034,입안가득초코칩,983,1500,1500,1500
P00035,자연애통밀,786,1200,1200,1200
P00036,자유시간,327,500,500,500
P00037,초코틴틴,655,1000,1000,1000
P00038,초코픽,524,800,800,800
P00039,컨디션,1229,2500,2500,2500
P00040,컨디션파워,1393,4500,4500,4500
P00041,타임리스타임(갑),1696,2300,2300,2300
P00042,티피,459,700,700,700
P00043,티피500,327,500,500,500
P00044,햇쌀,1311,2000,2000,2000
P00045,헬로엔요190ml,368,1000,1000,1000
P00046,호두마루,384,700,700,700
P00047,홈런볼초코,1967,3000,3000,3000
P00048,홈런볼초코(소),655,1000,1000,1000
P00049,화이트엔젤큐티,983,1500,1500,1500
P00050,후렌치파이딸기,1639,2500,2500,2500
